2d	..----..
eld	..-..-..
eldred	..-..-...-..-..
electrine	..-...-.-.-.-...-..
elegized	..-...--...--...-..
elene	..-...-..
eleusine	..-.....-.....-..
ell	..-...-..
ellene	..-...-...-..
elne	..-..-..
eloine	..-..---..-..
elsene	..-......-..
eme	.--.
emeute	.--...--.
emicate	.--..-.-..--.
emigate	.--..--..--.
emote	.------.
emp	.--.--.
en	.-.
enarete	.-..-.-..-.
enc	.-.-.-.
encke	.-.-.-.-.-.
endear	.-.-....-.-.
endobiotic	.-.-..----.....----..-.-.
endomitotic	.-.-..-----..-----..-.-.
enfeoff	.-...-..---..-...-.
enfin	.-...-...-.
enif	.-.....-.
enjoin	.-..------..-.
enleaf	.-..-....-..-.
enlister	.-..-.......-..-.
enruin	.-..-...-..-.
ensete	.-.....-.
enstatolite	.-....-.-----.-....-.
ensue	.-......-.
entente	.-.-.-.-.
entete	.-.-.-.
entr	.-.-.-.
entriken	.-.-.-...-.-.-.
envier	.-....-....-.
eoe	.---.
eon	.----.
eponge	..--.----.--..
equate	.--.-..-.--.
erce	..-.-.-..
erd	..-.-..
ere	..-..
eriline	..-....-....-..
erine	..-...-..
erl	..-..-..
erne	..-.-..
ernul	..-.-...-.-..
erred	..-..-..-..
es	....
escars	....-.-..-.-....
eschars	....-.-......-.-....
esdi	....-....
ese	.....
eses	........
esh	........
esi	......
esis	.........
eskars	....-.-.-.-....
eslie	.....-.....
ess	.......
esse	........
essee	.........
esses	...........
essie	..........
esteli	....-..-....
esterase	....-..-..-....
esters	....-..-....
estes	....-....
esth	....-....
esthetes	....-.....-....
etching	.--.-.......-.--.
eten	.-.-.
etf	.-..-.
ethben	.-....-....-.
ether	.-......-.
ethylin	.-....-.--.-....-.
etn	.--.
etnean	.--...--.
eton	.-----.
etr	.-.-.
ettling	.--.-....-.--.
evars	....-.-.-....
evase	....-.-....
evens	....-.-....
everrs	....-..-..-....
evers	....-..-....
eves	....-....
evites	....-..-....
exalte	.-..-.-.-..-.
exameter	.-..-.---.-..-.
exeter	.-..-.-..-.
exister	.-..-.....-..-.
exite	.-..-..-.
exogen	.-..------..-.
exter	.-..--..-.
eyen	.-.--.-.
eyr	.-.--.-.
ezan	.--...--.
fadged	..-..--..--..-..
fai	..-..-..
faired	..-..-...-..-..
famine	..-..---..-..
fanged	..-..--.--..-..
fanweed	..-..--..--..-..
farced	..-..-.-.-.-..-..
fared	..-..-.-..-..
farl	..-..-.-..-..
fatimid	..-..--..--..-..
favel	..-..-...-..-..
fd	..-.-..
fe	..-..
feazed	..-...---...-..
fed	..-..-..
feed	..-...-..
feeded	..-...-...-..
feel	..-....-..
feere	..-....-..
feezed	..-...--...-..
feil	..-.....-..
fell	..-...-...-..
felled	..-...-...-...-..
femmine	..-..----..-..
fenced	..-..-.-.-..-..
fere	..-...-..
ferfel	..-...-...-...-..
ferine	..-...-...-..
fermail	..-...-.--.-...-..
ferrel	..-...-..-...-..
fertil	..-...-.-...-..
fessed	..-.........-..
fetid	..-..-..-..
fgd	..-.--.-..
fibrefill	..-...-....-....-....-...-..
fibrine	..-...-....-...-..
fictil	..-...-.-.-...-..
fid	..-...-..
fidded	..-...-..-...-..
fied	..-....-..
fiel	..-.....-..
fife	..-.....-..
fil	..-....-..
finagled	..-...-..---..-...-..
fine	..-...-..
fire	..-....-..
firebed	..-....-..-....-..
fished	..-...........-..
fizzed	..-...--..--...-..
fl	..-..-..
flamsteed	..-..-...---...-..-..
flavid	..-..-...-...-..-..
flavine	..-..-...-...-..-..
fld	..-..-..-..
fleered	..-..-.....-..-..
fluid	..-..-....-..-..
foamed	..-.---.---.-..
foeti	..-.---.-..
fol	..-.---.-..
fond	..-.----.-..
fool	..-.------.-..
footed	..-.-------.-..
footstool	..-.-------...-------.-..
fore	..-.---.-..
fraid	..-..-..-..-..
fred	..-..-..-..
freshened	..-..-..........-..-..
frl	..-..-..-..
ftl	..-.-.-..
fueled	..-...-..-...-..
fugere	..-...---...-..
fulicine	..-...-.-....-.-...-..
full	..-...-.-...-..
fumagine	..-...---.---...-..
fungid	..-...--.--...-..
furfurine	..-...-.-...-...-.-...-..
furnivall	..-...-.-.-......-.-.-...-..
fustee	..-...-...-..
futzed	..-...----...-..
fuzed	..-...---...-..
fyrd	..-.-.--.-.-..
gaitt	--..-..--
gamut	--..---..--
garett	--..-.-..--
garnett	--..-.-.-..--
gat	--..--
gaut	--..-..--
gcm	--.-.-.--
geat	--...--
gelett	--...-...--
gem	--..--
gerim	--...-...--
ghat	--......--
gilim	--....-....--
gim	--...--
gitt	--...--
gm	--.--
gmat	--.--.--
gmw	--.--.--
gnaw	--.-..-.--
gneissy	--.-..........-.--
goat	--.---.--
goaty	--.---.---.--
gouty	--.---..---.--
gow	--.---.--
goy	--.----.--
grat	--..-..--
grenat	--..-..-..--
gsat	--.....--
gtt	--.--
guillem	--...-...-...-...--
gut	--...--
gw	--..--
gy	--.-.--
h	....
haeres	.....-..-.....
hails	.....-...-.....
haines	.....-..-.....
hairballs	.....-...-.-....-.-...-.....
hairse	.....-...-.....
halch	.....-.-..-.-.....
halie	.....-.-.....
hals	.....-.-.....
hambones	.....----...----.....
hanse	.....--.....
harbi	.....-.-.-.....
hardie	.....-.-.-.....
hards	.....-.-.-.....
hares	.....-.-.....
hartals	.....-.-.-.-.-.....
harwich	.....-.-..--..-.-.....
hassels	.....-........-.....
haverels	.....-...-..-...-.....
haysi	.....--.--.....
he	.....
hearties	......-.-.-......
heavies	......-...-......
hech	.....-.-.....
hectares	.....-.-.-.-.-.....
heddie	.....-..-.....
hedie	.....-.....
hedveh	.....-.....-.....
hee	......
heezes	......--......
heh	.........
hehe	..........
hehs	............
hei	.......
heii	.........
heinies	.......-.......
heiress	........-........
heis	..........
heise	...........
heishi	................
helles	......-...-......
helse	......-......
hemiepes	.....--....--.....
hench	.....-.-.-.....
hennes	.....-.-.....
henoch	.....-.----.-.....
hepatise	......--..--......
hepatizes	......--..--..--......
herbie	......-.-......
herbs	......-.-......
heredes	......-..-......
hes	........
hess	...........
hesse	............
hexis	.....-..-.....
hh	........
hi	......
hibbs	......-...-......
hickies	......-.-.-.-......
hides	......-......
hie	.......
hies	..........
hih	..........
hillis	.......-...-.......
